label,_id,ltable_Id,rtable_Id,ltable_Title,ltable_Category,ltable_Duration,ltable_Rating,ltable_Rating_Count,ltable_Director,ltable_Year,rtable_Title,rtable_Category,rtable_Duration,rtable_Rating,rtable_Rating_Count,rtable_Director,rtable_Year
0,9362,13312,6740,Day of the Dove,"Action,Adventure,Mystery",51,80,1143,Marvin J. Chomsky,1968,Bed of the Dead,"Art House,International,Horror",88,,9,,2016
1,534,514,8503,Look Who's Talking Too,"Comedy,Family,Romance",81,45,37174,Amy Heckerling,1990,"Look Who's Talking, Too",Comedy,81,52,196630,"Amy Heckerling,",1990
0,7027,9308,10211,American Gladiators,"Action,Television,Sport",60,66,1516,,1989,American History X,Drama,118,84,478191,"Tony Kaye,",1998
1,7907,10731,644,Quest for Fire,"Adventure,Drama,History",100,74,16502,Jean-Jacques Annaud,1982,Quest for Fire,"Action,Adventure,Art House,International,Drama",100,72,8558,"Jean-Jacques Annaud,",1981
1,9472,13449,8535,The Russia House,"Drama,Romance,Mystery",123,61,11542,Fred Schepisi,1990,The Good House,"Comedy,Drama",,,159,,2015
0,244,248,8858,Halloween,"Horror,Mystery",91,79,160565,John Carpenter,1978,Halloween,"Horror,Mystery",93,72,300749,"John Carpenter,",1978
0,3377,4117,1843,The Black Adder,Comedy,195,82,27200,,1982,The Black Dahlia,"Drama,Mystery",121,52,97570,"Brian DePalma,",2006
0,7579,10101,2972,Superman,Short,0,,,,,Superman II,"Action,Adventure,Science Fiction,Fantasy",127,64,239281,"Richard Lester,Richard Donner,",1981
0,13326,21331,18474,The Book of Pooh,Family,30,63,352,,2001,The Medal of Honor,"Documentary,Special Interest",90,88,83,"Roger M. Sherman,",2008
0,8050,10995,18524,The Year of the Mouse,"Animation,Family,Short",6,68,191,"Chuck Jones,Maurice Noble",1965,The Best of Mandy Moore,"Musical,Performing Arts",,,26,,2001
1,13494,21673,14180,The Karate Kid,"Action,Drama,Family",140,62,121641,Harald Zwart,2010,The Karate Kid 2,Drama,,66,353,"Breck Eisner,",2016
0,4547,5960,19134,The Shannara Chronicles,"Adventure,Fantasy,Sci-Fi",42,75,33270,"Alfred Gough,Miles Millar",2016,Space Rangers Chronicles 2,"Science Fiction,Fantasy",100,,1,,1993
0,10707,16206,14763,Comedy Central Roast of Denis Leary,Comedy,99,67,828,John Fortenberry,2003,Comedy Central Roast of Denis Leary,"Comedy,Television",90,66,252,"John Fortenberry,",2004
0,13282,21302,18963,Home Makeover,"Animation,Short,Comedy",5,71,900,"Kyle Balda,Samuel Tourneux",2010,Hostile Makeover,"Comedy,Mystery,Television",,56,55,"Jerry Ciccoritti,",2009
0,2626,2803,12589,The Black Hen,Drama,90,76,252,Min Bahadur Bham,2015,Great Black Women,Special Interest,52,,10,,
0,564,544,6049,The Amazing Spider-Man,"Action,Adventure",136,70,457122,Marc Webb,2012,The Amazing Spider-Man,"Action,Adventure,Science Fiction,Fantasy",136,78,813205,"Marc Webb,",2012
