label,_id,ltable_Id,rtable_Id,ltable_Title,ltable_Category,ltable_Duration,ltable_Rating,ltable_Rating_Count,ltable_Director,ltable_Year,rtable_Title,rtable_Category,rtable_Duration,rtable_Rating,rtable_Rating_Count,rtable_Director,rtable_Year
-1,9362,13312,6740,Day of the Dove,"Action,Adventure,Mystery",51,80.0,1143.0,Marvin J. Chomsky,1968,Bed of the Dead,"Art House,International,Horror",88.0,,9,,2016
-1,534,514,8503,Look Who's Talking Too,"Comedy,Family,Romance",81,45.0,37174.0,Amy Heckerling,1990,"Look Who's Talking, Too",Comedy,81.0,52.0,196630,"Amy Heckerling,",1990
-1,7027,9308,10211,American Gladiators,"Action,Television,Sport",60,66.0,1516.0,,1989,American History X,Drama,118.0,84.0,478191,"Tony Kaye,",1998
-1,7907,10731,644,Quest for Fire,"Adventure,Drama,History",100,74.0,16502.0,Jean-Jacques Annaud,1982,Quest for Fire,"Action,Adventure,Art House,International,Drama",100.0,72.0,8558,"Jean-Jacques Annaud,",1981
-1,9472,13449,8535,The Russia House,"Drama,Romance,Mystery",123,61.0,11542.0,Fred Schepisi,1990,The Good House,"Comedy,Drama",,,159,,2015
-1,244,248,8858,Halloween,"Horror,Mystery",91,79.0,160565.0,John Carpenter,1978,Halloween,"Horror,Mystery",93.0,72.0,300749,"John Carpenter,",1978
-1,3377,4117,1843,The Black Adder,Comedy,195,82.0,27200.0,,1982,The Black Dahlia,"Drama,Mystery",121.0,52.0,97570,"Brian DePalma,",2006
-1,7579,10101,2972,Superman,Short,0,,,,,Superman II,"Action,Adventure,Science Fiction,Fantasy",127.0,64.0,239281,"Richard Lester,Richard Donner,",1981
-1,13326,21331,18474,The Book of Pooh,Family,30,63.0,352.0,,2001,The Medal of Honor,"Documentary,Special Interest",90.0,88.0,83,"Roger M. Sherman,",2008
-1,8050,10995,18524,The Year of the Mouse,"Animation,Family,Short",6,68.0,191.0,"Chuck Jones,Maurice Noble",1965,The Best of Mandy Moore,"Musical,Performing Arts",,,26,,2001
-1,13494,21673,14180,The Karate Kid,"Action,Drama,Family",140,62.0,121641.0,Harald Zwart,2010,The Karate Kid 2,Drama,,66.0,353,"Breck Eisner,",2016
-1,4547,5960,19134,The Shannara Chronicles,"Adventure,Fantasy,Sci-Fi",42,75.0,33270.0,"Alfred Gough,Miles Millar",2016,Space Rangers Chronicles 2,"Science Fiction,Fantasy",100.0,,1,,1993
-1,10707,16206,14763,Comedy Central Roast of Denis Leary,Comedy,99,67.0,828.0,John Fortenberry,2003,Comedy Central Roast of Denis Leary,"Comedy,Television",90.0,66.0,252,"John Fortenberry,",2004
-1,13282,21302,18963,Home Makeover,"Animation,Short,Comedy",5,71.0,900.0,"Kyle Balda,Samuel Tourneux",2010,Hostile Makeover,"Comedy,Mystery,Television",,56.0,55,"Jerry Ciccoritti,",2009
-1,2626,2803,12589,The Black Hen,Drama,90,76.0,252.0,Min Bahadur Bham,2015,Great Black Women,Special Interest,52.0,,10,,
-1,564,544,6049,The Amazing Spider-Man,"Action,Adventure",136,70.0,457122.0,Marc Webb,2012,The Amazing Spider-Man,"Action,Adventure,Science Fiction,Fantasy",136.0,78.0,813205,"Marc Webb,",2012
-1,8531,11923,16015,Bad Dreams,"Horror,Mystery",80,56.0,2441.0,Andrew Fleming,1988,Bad Dreams,Horror,84.0,62.0,1044,"Andrew Fleming,",1988
-1,8030,10932,10503,Lucifer Rising,"Short,Fantasy",29,72.0,1884.0,Kenneth Anger,1974,Hate Rising,,60.0,,8,"Catherine Tambini,",2016
-1,5371,6914,9830,25th Hour,Drama,135,77.0,151030.0,Spike Lee,2003,25th Hour,Drama,134.0,74.0,79805,"Spike Lee,",2003
-1,1247,1401,8535,The Loud House,"Animation,Action,Comedy",22,79.0,676.0,Chris Savino,2016,The Good House,"Comedy,Drama",,,159,,2015
-1,4096,5186,14555,Saturday Night Live: The Best of Eddie Murphy,"Documentary,Comedy",77,75.0,850.0,"Andy Breckman,Dave Wilson",,Saturday Night Live: The Best of Saturday TV Funhouse,"Comedy,Television",84.0,78.0,71,,2006
-1,12216,18966,2934,For the Love of Spock,"Documentary,Biography",111,78.0,473.0,Adam Nimoy,2016,For the Love of Spock,Documentary,111.0,84.0,526,"Adam Nimoy,",2016
-1,5918,7585,8787,It's a Wonderful Life,"Drama,Family,Fantasy",130,86.0,280147.0,Frank Capra,1947,It's a Wonderful Life,"Classics,Comedy,Drama,Kids,Family,Science Fiction,Fantasy",135.0,80.0,216955,"Frank Capra,",1946
-1,731,687,8875,Poltergeist,"Fantasy,Horror",114,74.0,107698.0,Tobe Hooper,1982,Poltergeist,Horror,114.0,68.0,181435,"Tobe Hooper,",1982
-1,6888,9129,11694,Wrath of the Titans,News,30,,,,2012,Weight of the Nation,Documentary,,84.0,24,"Dan Chaykin,",2012
-1,2273,2560,11840,The Young Ones,Comedy,410,82.0,10633.0,,1982,The Young Visiters,"Comedy,Drama,Kids,Family,Television,Romance",90.0,70.0,261,,2003
-1,9883,14168,3937,Conjunction Junction,"Animation,Family,Musical",4,93.0,38.0,,1973,Cemetery Junction,Comedy,95.0,68.0,13654,"Ricky Gervais,Stephen Merchant,",2010
-1,5818,7490,16544,Gladiator,"Action,Adventure,Drama",155,85.0,999279.0,Ridley Scott,2000,Gladiator,"Action,Adventure,Drama",102.0,68.0,9758,"Rowdy Herrington,",1992
-1,6253,8020,13765,Gods Behaving Badly,"Comedy,Drama",90,63.0,72.0,Marc Turtletaub,2013,Gods Behaving Badly,"Comedy,Drama",,,70,"Marc Turtletaub,",2012
-1,6902,9144,17784,Main Street,Drama,92,47.0,2170.0,John Doyle,2012,Main Street,Drama,93.0,42.0,1817,"John Doyle,John W. Doyle,",2011
-1,4647,6126,16383,George of the Jungle,"Animation,Adventure,Comedy",0,43.0,618.0,,2007,Secret of the Wings,"Action,Adventure,Animation,Kids,Family",92.0,82.0,2154,"Peggy Holmes,Robert Gannaway,",2012
-1,11059,16912,7030,The Omega Man,"Action,Sci-Fi",98,66.0,22884.0,Boris Sagal,1971,The Wrong Man,"Drama,Mystery,Television,Romance",98.0,66.0,107,"Jim McBride,",1993
-1,4298,5550,8759,The Fluffer of Seville,"Comedy,Musical,Television",60,75.0,11.0,,2011,The Triplets of Belleville,"Animation,Art House,International,Comedy,Drama",81.0,80.0,39976,"Sylvain Chomet,",2003
-1,7485,9941,648,Untitled Hugh Jackman Project,"Action,Adventure",0,,,,,Untitled Wikileaks/HBO Project,Drama,128.0,60.0,66,"Bill Condon,",2013
-1,2862,3209,17103,Birds of America,"Comedy,Drama",85,62.0,4864.0,Craig Lucas,2010,Pride of Africa,Drama,,,5,"Herman Binge,",2009
-1,11238,17160,17521,Love Me,Mystery,97,54.0,730.0,Rick Bota,2013,He Loves Me,"Drama,Television",,46.0,12,"Jeff Renfroe,",2011
-1,4967,6474,1560,Iron Man,Comedy,0,74.0,40.0,,2015,Rain Man,Drama,133.0,76.0,312982,"Barry Levinson,",1988
-1,10844,16495,465,Holes,"Adventure,Comedy,Drama",117,71.0,59030.0,Andrew Davis,2003,Holes,"Action,Adventure,Comedy,Kids,Family,Mystery",118.0,66.0,211357,"Andrew Davis,",2003
-1,5941,7608,8369,Last Knights,"Action,Adventure",115,62.0,27935.0,Kazuaki Kiriya,2015,Last Fight,"Action,Adventure",88.0,,4,"Fred Williamson,",1983
-1,2179,2447,664,Captain America: Civil War,,17,,,Mathew Buck,2016,Captain America: The First Avenger,"Action,Adventure,Mystery",124.0,74.0,183944,"Joe Johnston,",2011
-1,7487,9941,4626,Untitled Hugh Jackman Project,"Action,Adventure",0,,,,,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,",2017
-1,12581,19626,13089,The Drive,Comedy,28,81.0,165.0,Stephen Merchant,2013,Sex Drive,Comedy,129.0,68.0,74161,"Sean Anders,",2008
-1,3923,5054,1140,The Fits,Drama,72,64.0,810.0,Anna Rose Holmer,2016,The Fits,Drama,72.0,68.0,1370,"Anna Rose Holmer,",2016
-1,7204,9528,4626,Untitled Bill & Ted Project,Comedy,0,,,Dean Parisot,,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,",2017
-1,10049,14606,5558,The Young Turks,"Comedy,News,Television",120,70.0,799.0,Cenk Uygur,2005,The Young Messiah,"Musical,Performing Arts",,,139,,2007
-1,6148,7894,96,The Accountant,"Comedy,Television",43,,,,2016,The Accountant,Drama,128.0,80.0,33264,"Gavin O'Connor,",2016
-1,726,681,5675,The New Adventures of Superman,"Animation,Sci-Fi",30,76.0,415.0,,1966,The Adventures of Brer Rabbit,"Animation,Kids,Family",72.0,68.0,191,"Byron Vaughns,",2006
-1,9551,13627,7191,CBS This Morning,"News,Television",120,54.0,40.0,,1987,April Morning,"Action,Adventure,Drama,Television",93.0,68.0,253,"Delbert Mann,",1988
-1,67,63,11292,Untitled Max Landis Project,Adventure,0,,,,,Untitled Secret Service Project ,"Drama,Television",,,64,"Rupert Wainwright,",2002
-1,3861,4933,507,The Kelly File,"News,Television",60,52.0,253.0,,2013,The Odessa File,"Action,Adventure,Art House,International,Classics,Drama,Mystery",130.0,68.0,3165,"Ronald Neame,",1974
-1,2196,2474,2648,Ghostbusters 2016,"Comedy,Television",51,,,,2016,Ghostbusters 2,"Comedy,Science Fiction,Fantasy",102.0,64.0,405977,"Ivan Reitman,",1989
