name,duration,year,genre,releaseDate,rating,ratingCount,director,cast,story,language and country
"X-Men: Apocalypse ,",2h 24min,2016,"Action,Adventure,Sci-Fi",,7.2,"189,465",,,"Since the dawn of civilization, he was worshipped as a God. Apocalypse, the first and most powerful mutant from Marvel's X-Men universe, amassed the powers of many other mutants, becoming immortal and invincible. Upon awakening after thousands of years, he is disillusioned with the world as he finds it and recruits a team of powerful mutants, including a disheartened Magneto, to cleanse mankind and create a new world order, over which he will reign. As the fate of the Earth hangs in the balance, Raven with the help of Professor X must lead a team of young X-Men to stop their greatest nemesis and save mankind from complete destruction.                ,","Fox Movies [United States],Official Facebook,USA,English,Polish,German,Arabic,Egyptian (Ancient),Montréal, Québec, Canada,company contact information,IMDbPro,Dolby Atmos,Color"
"A Man Called Ove ,",1h 56min,2015,"Comedy,Drama","30 September 2016 (USA)
,",7.6,"6,735",,,"59 year old Ove is the block's grumpy man who several years earlier was deposed as president of the condominium association, but he could not give a damn about being deposed and therefore keeps looking over the neighborhood with an iron fist. When pregnant Parvaneh and her family moves into the terraced house opposite and accidentally backs into Ove's mailbox it turns out to be an unexpected friendship. A drama comedy about unexpected friendship, love and the importance of surrounding yourself with the proper tools.","Official site [Japan],official webpage,Sweden,Swedish,Persian,Trollhättan, Västra Götalands län, Sweden,company contact information,IMDbPro,Color"
Michael Keaton/Nick Offerman/Chris Janson ,41min,,"Comedy,Music,Talk-Show",,6.6,10,"Jimmy Fallon,Michael Keaton,Nick Offerman",,", (, (2015)); , (, (2014), play ""A Confederacy of Dunces"") discusses his favorite meats. Also: , performs.","USA,English,company contact information,IMDbPro,Color"
The Last Ship ,1h,,"Action,Drama,Sci-Fi",,7.5,"39,016",,,"Naval Destroyer Nathan James is sent on what they're told is a research mission in the Arctic. Accompanying them is scientist, Rachel Scott. After a few months in the Arctic while Scott is on the ice doing research, some men attack them. They get back to the ship and the Commander, Tom Chandler asks the doctor what's going on. She says that a deadly disease broke out a few months ago. At first, they thought it was contained but they had no cure. They felt that the cure was in the Arctic which why she's here. But she has since received word that it has now spread to most of the globe. Chandler tries to call the President but learns the President and Vice President are dead and the US government might not have long to survive. The current President tells him that the Nathan James was not in the hot zone so he and his crew are OK. But now it's up to them to safeguard Scott because she holds the key to the planet's survival. But there are those who want the cure too and they will do ...                ,","Official Facebook In Vietnam,Official Site,USA,English,MBS Media Campus 1600 Rosecrans Ave., Manhattan Beach, California, USA,company contact information,IMDbPro,Stereo,Color"
"The Greasy Strangler ,",1h 33min,2016,"Comedy,Horror,Thriller",,5.5,239,Jim Hosking,"Michael St. Michaels,Sky Elobar,Elizabeth De Razzo","The Los Angeles-set tale follows Ronnie, a man who runs a Disco Walking tour along with his browbeaten son, Brayden. When a sexy, alluring woman comes to take the tour, it begins a competition between father and son for her attentions. It also signals the appearance of an oily, slimy inhuman maniac who stalks the streets at night and strangles the innocent, soon dubbed 'The Greasy Strangler.'                ,","USA,English,Los Angeles, California, USA,company contact information,IMDbPro,Color"
How the Arrival Trailer Should Have Ended ,,,"Animation,Comedy","Episode aired 16 August 2016
,",,,Daniel Baxter,,,"company contact information,IMDbPro"
Girls ,28min,,"Comedy,Drama",TV Series (2012– ),7.4,"49,918",,,"The assorted humiliations, disasters and rare triumphs of four very different twenty-something girls: Hannah, an aspiring writer; Marnie, an art gallery assistant and cousins Jessa and Shoshanna.                ,","USA,English,New York Bay, New York, USA,company contact information,IMDbPro,Dolby Digital,Color"
"The Birth of a Nation ,",2h 45min,1915,"Drama,History,War",,6.8,"17,172",D.W. Griffith,"Lillian Gish,Mae Marsh,Henry B. Walthall","Two brothers, Phil and Ted Stoneman, visit their friends in Piedmont, South Carolina: the family Cameron. This friendship is affected by the Civil War, as the Stonemans and the Camerons must join up opposite armies. The consequences of the War in their lives are shown in connection to major historical events, like the development of the Civil War itself, Lincoln's assassination, and the birth of the Ku Klux Klan.                ,","USA,Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA,company contact information,IMDbPro,Silent, Black and White"
"The Limehouse Golem ,",1h 45min,2016,"Horror,Thriller","10 September 2016 (Canada)
,",7.8,47,Juan Carlos Medina,"Eddie Marsan,Olivia Cooke,Bill Nighy",A series of murders has shaken the community to the point where people believe that only a legendary creature from dark times - the mythical so-called Golem - must be responsible.,"UK,English,company contact information,IMDbPro,Color"
"Captain America: Civil War ,",2h 27min,2016,"Action,Adventure,Sci-Fi",,8.0,"323,106",,,"With many people fearing the actions of super heroes, the government decides to push for the Hero Registration Act, a law that limits a hero's actions. This results in a division in The Avengers. Iron Man stands with this Act, claiming that their actions must be kept in check otherwise cities will continue to be destroyed, but Captain America feels that saving the world is daring enough and that they cannot rely on the government to protect the world. This escalates into an all-out war between Team Iron Man (Iron Man, Black Panther, Vision, Black Widow, War Machine, and Spiderman) and Team Captain America (Captain America, Bucky Barnes, Falcon, Sharon Carter, Scarlet Witch, Hawkeye, and Ant Man) while a new villain emerges.","Official Facebook,Official site [France],USA,Germany,English,German,Xhosa,Russian,Romanian,Atlanta, Georgia, USA,company contact information,IMDbPro,Dolby Atmos,12-Track Digital Sound,Dolby Digital,Color"
"Middle School: The Worst Years of My Life ,",,2016,,,,,,,"Imaginative quiet teenager Rafe Katchadorian is tired of his middle school's obsession with the rules at the expense of any and all creativity. Desperate to shake things up, Rafe and his best friends have come up with a plan: break every single rule in the school and let the students run wild.                ,","Official site,USA,English,Atlanta, Georgia, USA,company contact information,IMDbPro,Color"
The Little Kicks ,23min,,Comedy,,9.1,"1,006",Andy Ackerman,"Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards","Kramer's friend Brody forces Jerry to bootleg the movie ""Death Blow"". George follows Elaine to her office party and finds out that she has a ""unique"" dancing style. She starts to get a weird vibe from her subordinates and blames it all on George. George becomes the bad boy and wins the affection of Elaine's employee Anna. Jerry finds out that he is a gifted bootlegger and demands perfection while shooting ""Cry, Cry, again"". Kramer tells Elaine she can't dance. She then videotapes herself dancing over the bootleg of ""Cry, Cry, Again"". Elaine apologizes over the phone to George calling him a ""good seed"". He tries to win back Anna's affection by pretending to be a bootlegger. George is arrested and has to be picked up by his father. While picking up Anna from the police station, Elaine and Frank Costanza throw fists.                ,","USA,English,CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA,company contact information,IMDbPro,Stereo,Color"
Penny Dreadful ,1h,,"Drama,Fantasy,Horror",,8.3,"78,619",,,"Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London.","Official Facebook,Official Site,USA,Ireland,UK,English,Dublin, County Dublin, Ireland,company contact information,IMDbPro,Dolby Digital,Dolby Atmos,Color"
"The Belko Experiment ,",1h 28min,2016,"Action,Horror,Thriller",,7.3,81,Greg McLean,"Tony Goldwyn,Michael Rooker,Abraham Benrubi","In a twisted social experiment, a group of 80 Americans are locked in their high-rise corporate office in Bogata, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.","USA,English,Bogota, Colombia,company contact information,IMDbPro,Color"
The Strain ,43min,,"Drama,Horror,Thriller",,7.5,"56,649",,,"A thriller that tells the story of Dr. Ephraim Goodweather, the head of the Center for Disease Control Canary Team in New York City. He and his team are called upon to investigate a mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism. As the strain spreads, Eph, his team, and an assembly of everyday New Yorkers, wage war for the fate of humanity itself.                ,","USA,English,Toronto, Ontario, Canada,company contact information,IMDbPro,Dolby Digital,Color"
The Voice ,1h,,"Game-Show,Music,Reality-TV",,6.6,"9,647",,,Four famous musicians search for the best voices in America and will mentor these singers to become artists. America will decide which singer will be worthy of the grand prize.,"NBC [United States],USA,English,company contact information,IMDbPro,Dolby Digital,Color"
Dame Helen Mirren/Kevin Costner/Ewan McGregor/Ricky Gervais/Eric Bana/Meghan Trainor ,1h,,"Comedy,Talk-Show","Episode aired 8 April 2016
,",8.4,19,"Graham Norton,Helen Mirren,Kevin Costner",,,"UK,English,company contact information,IMDbPro,Color"
