Name,Availability,Regular Price,Special Price,Description
,,"
                    $3,999.00                ,
                    $1,899.00                ,
                    $4,999.00                ,
                    $2,850.00                ,
                    $2,999.00                ,
                    $2,999.00                ,
                    $1,889.00                ,
                    $2,100.00                ,
                    $700.00                ,
                    $2,999.00                ,
                    $1,349.00                ,
                    $10,080.00                ,
                    $1,100.00                ,
                    $5,100.00                ,
                    $1,349.00                ,
                    $2,199.00                ,
                    $1,349.00                ,
                    $879.00                ,
                    $1,759.00                ,
                    $1,889.00                ,
                    $1,399.00                ,
                    $2,099.00                ,
                    $920.00                ,
                    $2,099.00                ,
                    $3,499.00                ,
                    $1,105.00                ,
                    $1,199.00                ,
                    $2,599.00                ,
                    $1,099.00                ,
                    $3,999.00                ,
                    $3,999.00                ","
                    $3,499.00                ,
                    $1,599.00                ,
                    $3,499.00                ,
                    $2,000.00                ,
                    $1,999.00                ,
                    $2,699.00                ,
                    $1,599.00                ,
                    $1,299.00                ,
                    $599.00                ,
                    $2,799.00                ,
                    $999.00                ,
                    $6,999.00                ,
                    $1,000.00                ,
                    $3,600.00                ,
                    $1,200.00                ,
                    $1,999.00                ,
                    $1,099.00                ,
                    $829.00                ,
                    $1,299.00                ,
                    $1,499.00                ,
                    $1,250.00                ,
                    $1,699.00                ,
                    $849.00                ,
                    $1,399.00                ,
                    $3,150.00                ,
                    $1,000.00                ,
                    $950.00                ,
                    $2,399.00                ,
                    $849.00                ,
                    $3,799.00                ,
                    $3,499.00                ",
2017 Trek FX 3,In stock,,,More speed. More versatility. More fun!
2013 Blue Norcross SP,In stock,"
                    $2,100.00                ","
                    $1,299.00                ","If you're looking for a no-nonsense 'cross bike, put the Blue Norcross at the top of your list."
2016 Trek Crockett 5 Disc,In stock,"
                    $1,889.00                ","
                    $1,599.00                ",A 'cross bike that balances performance and value for the beginning racer
2016 Felt Z100,In stock,,,Felt's most popular line has an entry-level machine you've got to try!
2017 Trek Stache 5,In stock,,,Light weight + wide tires = more fun!
2017 Trek Lync 5,In stock,,,Trek's best-ever commuting bike ditches the chain for a belt drive
2014 Felt Z3,In stock,"
                    $2,999.00                ","
                    $1,999.00                ","From cobblestones to messy pavement, the Felt Z3 keeps you comfortable for your longest rides"
2011 Bianchi Cavaria,In stock,"
                    $2,850.00                ","
                    $2,000.00                ","Light weight, aggressive geometry, rugged construction and over a century of heritage makes this cyclocross machine a thing of beauty"
Speedplay Stainless SYZR pedal,In stock,,,The ultimate in Speedplay adjustability is now in a mountain pedal!
2017 Trek Crossrip 1,In stock,,,"From commutes to gravel adventures, the Crossrip 1 is your newest do-everything bike"
2016 Trek Farley 7,In stock,,,"A fat bike you can race, or just have fun in the snow!"
,,,,
,,,,
Trek 7.2 FX,In stock,,,"Our best-selling, commuter-friendly bike!"
